Name,Ratings,Country
Magnus Carlsen,2829,Norway
Fabiano Caruana,2800,United States
Hikaru Nakamura,2784,United States
Ding Liren,2780,China
Ian Nepomniachtchi,2771,Russia
Alireza Firouzja,2767,France
Wesley So,2752,United States
Sergey Karjakin,2750,Russia
Viswanathan Anand,2748,India
Anish Giri,2747,Netherlands
Leinier Dominguez Perez,2745,United States
Parham Maghsoodloo,2745,Iran
Praggnanandhaa Rameshbabu,2737,India
Richard Rapport,2736,Romania
Shakhriyar Mamedyarov,2734,Azerbaijan
Maxime Vachier-Lagrave,2733,France
Alexander Grischuk,2732,Russia
Le Quang Liem,2731,Vietnam
Wei Yi,2729,China
Jan-Krzysztof Duda,2729,Poland
Vincent Keymer,2728,Germany
Vidit Santosh Gujrathi,2728,India
Veselin Topalov,2727,Bulgaria
Levon Aronian,2726,United States
Nodirbek Abdusattorov,2724,Uzbekistan
Arjun Erigaisi,2721,India
Gukesh Dommaraju,2719,India
Yu Yangyi,2717,China
Nikita Vitiugov,2714,England
Bogdan-Daniel Deac,2714,Romania
Vladislav Artemiev,2712,Russia
Francisco Vallejo Pons,2712,Spain
Daniil Dubov,2710,Russia
Samuel Shankland,2708,United States
Jorden van Foreest,2704,Netherlands
Pentala Harikrishna,2703,India
Sanan Sjugirov,2703,Hungary
Ray Robson,2701,United States
Wang Hao,2700,China
Sam Sevian,2698,United States
Amin Tabatabaei,2696,Iran
David Navara,2695,Czech Republic
Pavel Eljanov,2695,Ukraine
Evgeny Tomashevsky,2694,Russia
David Anton Guijarro,2693,Spain
Jeffery Xiong,2693,United States
Gabriel Sargissian,2692,Armenia
Bu Xiangzhi,2690,China
Peter Svidler,2688,FIDE
Alexey Sarana,2685,Serbia
Bassem Amin,2684,Egypt
Nihal Sarin,2684,India
Alexander Donchenko,2684,Germany
Haik Martirosyan,2683,Armenia
Nils Grandelius,2683,Sweden
Andrey Esipenko,2683,FIDE
Grigoriy Oparin,2681,United States
Radoslaw Wojtaszek,2679,Poland
Maxim Matlakov,2677,Russia
David Howell,2677,England
Vladimir Fedoseev,2676,Slovenia
Kirill Alekseenko,2675,Austria
Kirill Shevchenko,2675,Romania
Igor Kovalenko,2674,Ukraine
Rustam Kasimdzhanov,2673,Uzbekistan
Vasyl Ivanchuk,2672,Ukraine
Matthias Bluebaum,2670,Germany
Alexei Shirov,2668,Spain
Peter Leko,2666,Hungary
Anton Korobov,2663,Ukraine
Etienne Bacrot,2662,France
Boris Gelfand,2661,Israel
Saleh Salem,2661,United Arab Emirates
Gadir Guseinov,2661,Azerbaijan
Andrei Volokitin,2661,Ukraine
Andrei Volokitin,2661,Ukraine
Hans Moke Niemann,2660,United States
Wang Yue,2659,China
Javokhir Sindarov,2659,Uzbekistan
Michael Adams,2658,England
Ernesto Inarkiev,2658,FIDE
Ivan Cheparinov,2657,Bulgaria
Ivan Saric,2657,Croatia
Yuriy Kryvoruchko,2656,Ukraine
Narayanan Sunilduth Lyna,2656,India
Jaime Santos Latasa,2656,Spain
Li Chao,2652,China
Laurent Fressinet,2652,France
Alexandr Predke,2651,Serbia
Ni Hua,2651,China
Arkadij Naiditsch,2651,Azerbaijan
Ma Qun,2651,China
Ruslan Ponomariov,2650,Ukraine
Hrant Melkumyan,2650,Armenia
Awonder Liang,2649,United States
Evgeniy Najer,2648,FIDE
Nijat Abasov,2646,Azerbaijan
Vladimir Malakhov,2646,FIDE
Aravindh Chithambaram,2645,India
Alexander Ipatov,1,Türkiye
